timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,src_asn,src_country,dst_asn,dst_country,pattern_type,entity_id
2026-09-03T18:03:13.696771+00:00,83.87.178.166,211.139.236.2,18333,8333,e83a42f48c79d09d0287e54031576f9e7521d49740ec7bc8de3fa0c5a333d34d,1P2DSMEKVuXrmZjRLyqWQ2SZrUdZceC8hy,3oW9cYf4GHFPDbr1yUQLv52wod9ssZ8Qnb,0.01421598,0.01355638,0.0006596,p2pkh,AS16509,US,AS15169,US,benign,wallet_00000
2026-09-03T18:04:24.696771+00:00,201.223.79.249,70.179.81.175,52140,8333,70256f93d0a818924d849c5bbfb1d968a51891187b5e1b9d0f4ad95e8c02fd66,"3zcvzcM3zHkuM9HS3bhMconc4zA74DpoNY,31QMi7xTgZ6LqoKbWZT3jfSrtdLt6hYxqo,bc1q9g8u4epnrf2wh7f48ykr7up5adeeja6026dr6e,bc1qzenfkj3cjt8wklkh93a0pdsr0e9tx79yn4z8gy","115L56BjfjTUSRdCQGfebGe3NW1ekVGYwu,36Qzydm7up3HJUTih9XuF862PS6F2VfwBS","1.09663422,1.35871894,1.25263436,0.68406254","2.19578499,2.195785",0.00048007,p2sh,AS16509,NL,AS7018,RU,mixer,wallet_00001
2026-09-03T18:04:53.696771+00:00,209.85.3.229,22.6.230.163,8333,8333,440dd25d14be789b99b02ce189fc60d10b98e1faa2184dbba985af6f2ed9e2a6,32ynV1LvoQLQftmHViDcQ5GLLaRMYUxeMu,"3zcvzcM3zHkuM9HS3bhMconc4zA74DpoNY,1rRYeuqzvWYi4q4bRvsPjuxojLW7uAjywJ",1.547744,"0.27550269,1.27173093",0.00051038,p2sh,AS24940,US,AS24940,SG,benign,wallet_00002
2026-09-03T18:06:13.696771+00:00,106.19.139.119,56.205.63.247,18333,8333,91a999d66a8009934a013d93f9c37d7b3efe62a019b6ec73ecf43912c1d38ee1,bc1q9g8u4epnrf2wh7f48ykr7up5adeeja6026dr6e,"31QMi7xTgZ6LqoKbWZT3jfSrtdLt6hYxqo,3BqdcZUbDnvCTNt3i8XKNCXCZkg4UxyFYv",1.45882023,"0.09609582,1.36248896",0.00023545,p2sh,AS16276,SG,AS7018,NL,benign,wallet_00003
2026-09-03T18:12:37.696771+00:00,87.198.44.202,100.201.140.16,8333,8333,deb25b6a672c7c623b64f8f8b04f001f889c08209f7479dae045186e4a471726,12gU4HjKUV4DKwZ83GxvJgU22Ba5FRhA4F,38zgwC8pqGbNyHfoeTxdag4gXbCCnvU5M1,0.19338505,0.19273526,0.00064979,p2pkh,AS15169,CH,AS7018,NL,benign,wallet_00004
2026-09-03T18:07:13.696771+00:00,48.172.90.69,151.200.13.141,49152,8333,adbf6068601c3f40bba44456d716e9a80b3759c92ea1225fff2621984f00074d,1LM1vz27VLeYWZBGKckY4Jd7HWbQAdTTqh,"3Q7m6UfioQNNUjuo5oecjiG7Cz5fhywM3j,bc1qu3wsemlxq35a4y6gx67u9g547r8d257xnml6u0",0.95343399,"0.61398842,0.33898692",0.00045865,p2wpkh,AS24940,DE,AS7018,RU,benign,wallet_00005
2026-09-03T18:12:13.696771+00:00,179.118.46.35,90.220.112.158,8332,8333,b958b7936ca2707815a3d5427de040b6d225310ebaba840ef075e5270a07c91f,bc1qzenfkj3cjt8wklkh93a0pdsr0e9tx79yn4z8gy,"bc1q3vqhydet2ylrw6wescw5n3sndjx4kucq56fwjz,bc1qv5zmdgv527su5tx4c7xu6d0jm9fyhu2jk5flz7",0.57464378,"0.08023348,0.49378232",0.00062798,p2pkh,AS15169,CN,AS13335,US,benign,wallet_00006
2026-09-03T18:11:51.696771+00:00,166.127.82.188,76.250.251.46,49152,8333,e32e6af7f41fa8385ef6b4d32035909e44ba357ae31922c8b835cf72fc1bfdd1,"17xvYSNZDxsSBdSnQmQcagkQ5A5Q7Qa6zA,37rMtZ8isaHckiWkiwr7evJuwU8cqENRSL,3K1cX2TxSQZ74cjspURrcHbQAjwwTMbDAJ,bc1q4phpszxc53syswt4a6790g07extq45lg99we7m,34AS1me5eJuHaWNjhDgBJ1pRFB9FMarthq",3jm45tkrEnceBJNfFrv1WHcucghMM451a2,"1.00298869,0.75613377,1.06024719,0.37110424,1.37335958",4.5636406,0.00019287,p2wpkh,AS13335,BR,AS16276,BR,mixer,wallet_00007
2026-09-03T18:26:41.696771+00:00,168.125.181.254,136.40.248.161,49152,8333,c89da0d922b1fa64a4250b69e4c9a9dc60231cc35e53dcc1b9a95f927146fb91,3PQBBi8Ys6wDeM6U8fVmsbKKxWjiwA1GaE,"bc1q2esxvxhz5nja5rtc8sk5jcnns7qgeh6td2yqqv,bc1ql5ddf58qm8gj36ryrea9cjggq5vmrfsme46xus",1.09912372,"0.12492079,0.97342325",0.00077968,p2pkh,AS24940,RU,AS16276,RU,benign,wallet_00008
2026-09-03T18:22:25.696771+00:00,34.167.94.207,149.220.139.123,49152,8333,c2ec19208b7cb7768dcb02925c4f5396995a9c73c1ff33566af3e95fdc91f8cb,1CYKpv3AAwCURTF8GP45uMVVY8FgWrRHBf,1CYKpv3AAwCURTF8GP45uMVVY8FgWrRHBf,0.96715092,0.96675856,0.00039236,p2sh,AS16509,GB,AS15169,SG,benign,wallet_00009
2026-09-03T18:20:23.696771+00:00,168.91.50.51,223.154.21.178,50124,8333,a03d3115acd26068bee2d315b65eb4bf5b9d1cf6734e9d094e0514c78067625d,"3j2828JpBAsTNxPuByrsi8d3Heown6FidQ,1JKuZCKHGLrz2ajNkEcCwSZe7PDXTPHiVR,11iKVvNvsvCtjut5mN7wkWW5x5XrZVMwHL,1qfbGJLyJLp5SLashmK6Jz2YPacLh6sq98,bc1qmduzwe2jc0fughm376ty7l2ehny0vx235l0uyg","19NVPpQ5EuENvtNRfzSPoJNHksresKf9PK,3zUsqSCf8hankTacsYjUjg3dvgi9wCtT22","1.0268921,0.90767243,0.47113456,1.33687303,0.36352085","2.0528282,2.0528282",0.00043657,p2wpkh,AS16509,DE,AS16276,CH,mixer,wallet_00010
2026-09-03T18:31:16.696771+00:00,95.139.101.178,176.61.109.19,52140,8333,7145d7d1fac98e04dd9ff8980fc5c65a35fc6aaf34b32b824cf40f1a72753970,"1PF7diG1hxadonHrCW3KtnX2T8LGhGYakK,17xvYSNZDxsSBdSnQmQcagkQ5A5Q7Qa6zA,3K1cX2TxSQZ74cjspURrcHbQAjwwTMbDAJ,bc1q7fl2eh4p3q58crg5g7vvwj6c8uewv3vpqz3sxy",bc1qw6q29aanwfpkvp9uv3zdf6zs32maz0vwm784sq,"1.10468002,1.08702302,0.38155678,1.04190625",3.61471947,0.0004466,p2wpkh,AS16509,RU,AS24940,NL,mixer,wallet_00011
2026-09-03T18:32:49.696771+00:00,92.234.248.253,101.174.248.133,52140,8333,712b07e0e69509a6f1928822b8ae8368eda122d114d8c01bbb2c93bc5d3bb403,3K1cX2TxSQZ74cjspURrcHbQAjwwTMbDAJ,"bc1q79svag3tddygg0d39tcjnurgmgpyyrdzjspjkc,1HUZY8sJtJvgxtrzj4kohtAyUNmUfZBSTV",2.2430261,"0.75836562,1.48427881",0.00038167,p2wpkh,AS13335,RU,AS13335,GB,benign,wallet_00012
2026-09-03T18:41:47.696771+00:00,179.71.66.71,83.67.167.26,52140,8333,d8e300d7bfc70bea9db71f40b788bf8d2f7c8f4cfa80bc989e358072719d76fa,32NYveucDxB1ZMpgVgLyvDVCqpnUnwhJn2,bc1qgyhc6qr9pxj6gr0d3urtws52hdd44gy6mwz7yx,0.81586718,0.81555631,0.00031087,p2sh,AS8075,BR,AS8075,BR,benign,wallet_00013
