timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,src_asn,src_country,dst_asn,dst_country,pattern_type,entity_id
2026-09-04T06:46:11.142410+00:00,62.162.235.215,222.80.36.199,8333,8333,e44209e41d5c2ee09929c2951863cd8d5a3c237d2d22273ed36237ac702cb9e2,1MpCMghR7dGUgLcFUtxs8wp4gyZSjVS2vi,"1QBewY4bgbSnbwARreQkoTf82EoY58c4XD,1BfZMtRPKicDU7F5VXDRK9gwgBwRJTrwud",1.73215205,"0.29484349,1.43706547",0.00024309,p2sh,AS13335,SG,AS16276,SG,benign,wallet_00000
2026-09-04T06:48:44.142410+00:00,37.35.21.40,161.145.33.195,52140,8333,bb85fdbe3cd9f43f7f3591a92dcdd67dd20de7d5d2b38711306e19ca32c40df5,bc1q6jnqrhufsl72r2q68fj0q9fkac4x6efyd0zyz8,"3tNnmdF3ViWEt35eEXYVzeJbimdynJcRLM,bc1qwkwn873yzczqfrzu0g67letq7q5upst99jd3mt,bc1q3pvjfw28wjl42nqxxp5wkuhgq2cnejk2nud2nf,1pv4tpiLLvBvv1uVuf8SrukHry7hWQJV4X,bc1qe92k8x259vkg5w9087hfk8r0la2dtnthxmke6f,bc1q07y9s8vl730nlu3gdfgc9eef3t3s4pkvq4yugp",4.51203823,"0.75196039,0.75196039,0.75196039,0.75196039,0.75196039,0.75196037",0.00027591,p2sh,AS7018,BR,AS16276,SG,fan_out,wallet_00001
2026-09-04T06:49:13.142410+00:00,140.135.194.242,78.101.161.45,52140,8333,77794123541836e725f556d9a2e302800979ea13a3f2174cacc67def1d06c073,"1syfQm5695LU2nnscyMVj2ZDXrWoHoJZuG,bc1qdnmzk87xpgyttz6aj4n0x88acf37dzs8ntfg23,3gjeZUaY5tfvGrnNEYxyrXERvmaDTLspSP,1YkdSWKrQQkKvVfSoCphf55fvUhSqovr33",1vTDvr5H95W5Mf37vUv8Xk6b2QwVnWJrfE,"0.98373981,0.63743445,1.35096546,1.2962121",4.26795628,0.00039554,p2pkh,AS8075,RU,AS16276,DE,mixer,wallet_00002
2026-09-04T06:49:11.142410+00:00,106.250.0.45,189.43.69.27,52140,8333,6479ff26e2f40b18d42b071461216ed967807a554d7a5550a4a1369a2387c801,3rA671zAi8HpXvHFdnrEpWihyqeNvcvpyA,"3G1s84j6JHwqAt8wjd5TKZ67mQMQs9D6wc,1dBFh2w1ybnGYw6AyUam2HWSeEcALgBrts",0.80108808,"0.21039128,0.59040942",0.00028738,p2pkh,AS16276,RU,AS16276,NL,benign,wallet_00003
2026-09-04T06:49:23.142410+00:00,126.46.51.11,6.16.34.240,52140,8333,9402c40e522bbf7c20b9d4a4f050997266962a229abdf2a4e9f1b300b50102fc,1i2o2RNWBv3ymEg8p3k5q91kjjmhnnRkg6,"3m4J8L5Y1df3Re2sQgTgZMwQbh2jiALudT,1S9hrn1vJgBpiF8NaAVXCRvrd8CkoEMTgj",25.0,"0.42464856,24.57513381",0.00021763,p2sh,AS8075,JP,AS15169,US,peel_chain,wallet_00004
2026-09-04T06:57:41.142410+00:00,192.208.155.35,199.197.187.11,52140,8333,5522b98de512d00a4928915f271e3987f7f13ab8d67a0b2c2d3ff4464922eae6,bc1q6jnqrhufsl72r2q68fj0q9fkac4x6efyd0zyz8,1qNQczRzy7epwoVRrKcrsW49jYKe42mEbi,0.80608688,0.8055379,0.00054898,p2pkh,AS7018,DE,AS8075,SG,benign,wallet_00005
2026-09-04T06:53:47.142410+00:00,141.59.19.46,170.67.19.154,8333,8333,16ef8bd020e585abda8a538552a468f4620a32f42ee5740e508ee5dabb221906,"1Vc3nkU9Qz29rAVm1riUYGyoYdUsY5Bnff,1TQkayqUuWcMED1XjLf1FWaosC9ihDFNv7,3i1CUJt1PPfzt7wqk9xJA6q7WNLngsze8L,19zWZRj17uMXR9XpN5GtVu3bq6kwYp18is,bc1qrerp0kgx5dv59uga3xazxgrgjr04qpqtvjs45g","bc1qa8xm5csg0uz9urdrrs3vg55zhg02ry795apsv0,3B6u9r4SWFutqHrafH8QXx5ggGKe4g529W","1.342908,0.87447469,0.9454482,0.51751924,0.93825721","2.30901978,2.30901978",0.00056778,p2sh,AS13335,BR,AS13335,JP,mixer,wallet_00006
2026-09-04T06:52:15.142410+00:00,162.102.53.172,6.229.191.9,18333,8333,35b5c48495b8b8d46b086e0a0c7fb0eb189fb5677d46fa1ee1e08970f8aab340,3HAtobjG6FFP93r6z2yp9YUp8miUtmgy3G,"3XBN7hSMKhp5d3DzZ7VwVNHcbcMqPcD94G,1JCZXdzQH1u2N7xC2iTDsBVRmVELanPrXZ",1.54823772,"0.14874248,1.39882141",0.00067383,p2wpkh,AS16276,SG,AS7018,GB,benign,wallet_00007
2026-09-04T06:59:23.142410+00:00,3.4.107.163,159.159.21.249,52140,8333,ed96a1b6c594e8d3b654f5d7b83aa222c3483117358255dbdbd97a688710bc3a,1urbrbJb7P3PW6PCsTesw5ofrcrUCNQ6Pc,"3Ee22pUbV3T96TadmnpC5UuM8JNiMSpJ5R,19QZtubEY3XReQ8hgFCrRexNYT5fbpUza4",2.06762718,"0.67827186,1.38871811",0.00063721,p2pkh,AS7018,CN,AS13335,SG,benign,wallet_00008
2026-09-04T07:11:50.142410+00:00,32.82.229.148,221.149.220.250,52140,8333,3e9ff677801c3aee5985a375ffeabb6e75817be2e6dfa56833b267d7e79c5049,3Xn21EyDEhtkyogQHabfdavNEyFkmSjjdS,bc1qruyaeuq3atggx3ps3rd8jcnzz6zwhd9xzx3ddz,1.17438597,1.17398155,0.00040442,p2wpkh,AS16509,GB,AS16276,BR,benign,wallet_00009
